observation_date,ATL,AUS,BOS,CHA,CHI,DEN,DET,HOU,IND,JAC,KC,LV,LA,MEM,MIA,MIN,NY,PHI,PHX,STL,SLC,SF,SEA,DC
2008-01-01,98.351,100.094,107.170,95.715,105.353,105.442,99.898,99.941,96.95,99.774,93.558,101.834,111.976,94.944,105.953,102.288,112.925,107.044,105.817,92.273,98.705,117.81,108.222,114.21
2009-01-01,95.283,99.417,105.804,94.377,106.811,103.039,99.75,101.12,96.52,97.93,95.213,104.43,110.738,93.704,106.154,104.291,114.446,107.591,106.162,94.004,102.067,113.889,108.079,114.195
2010-01-01,98.559,100.411,105.810,95.995,106.127,101.407,98.543,101.228,96.423,98.923,96.162,101.354,111.147,95.482,105.401,102.457,112.904,106.597,102.809,97.343,99.671,112.574,105.553,113.871
2011-01-01,96.620,100.797,105.795,96.172,107.014,103.858,98.082,98.978,95.004,99.531,97.07,102.815,110.216,96.193,106.678,102.571,114.312,105.069,100.325,96.261,102.25,111.056,105.236,112.784
2012-01-01,99.482,101.304,105.077,96.188,105.551,104.726,97.434,100.169,94.987,99.177,97.567,102.422,110.911,95.881,107.257,101.391,113.663,103.738,99.119,94.686,101.89,111.712,104.981,111.123
2013-01-01,98.630,101.433,103.509,96.416,104.769,104.995,97.979,101.264,96.014,98.716,96.597,100.326,111.074,95.522,106.79,102.412,113.174,101.79,99.77,96.319,101.038,111.707,104.566,113.347
2014-01-01,98.838,101.782,105.650,96.756,103.499,103.926,98.644,102.198,95.643,99.411,98.08,99.543,110.746,95.545,105.797,103.602,113.119,102.486,99.2,97.708,99.68,112.618,106.491,113.388
2015-01-01,98.316,102.216,105.677,96.422,102.809,104.594,96.687,103.68,95.022,99.363,98.708,98.703,112.146,94.832,107.1,102.253,113.158,102.38,98.757,95.181,98.828,114.297,106.743,113.268
2016-01-01,98.840,103.009,109.286,97.413,104.201,104.433,95.969,102.535,95.119,99.853,97.556,97.738,110.124,96.34,107.892,102.06,113.445,102.77,100.823,95.572,97.796,114.871,109.089,111.49
2017-01-01,99.505,102.517,107.648,96.834,105.569,103.888,95.244,100.298,94.034,99.083,97.097,100.511,109.202,95.143,108.652,101.613,113.333,103.897,98.86,96.64,100.411,120.296,111.796,109.432
2018-01-01,98.348,99.759,109.491,95.699,104.687,101.79,96.653,102.241,95.482,97.322,94.68,96.698,110.418,90.554,109.97,104.308,114.391,102.877,99.755,95.178,98.047,120.605,109.372,110.916
2019-01-01,98.316,99.973,109.535,94.881,103.276,103.896,97.659,101.691,95.907,96.261,95.428,99.005,109.827,92.44,108.974,102.649,114.716,103.716,100.582,95.411,99.82,117.904,110.986,109.388
2020-01-01,98.157,101.798,110.218,94.581,104.846,107.292,97.09,100.075,94.705,96.318,94.702,97.164,111.895,92.719,109.983,103.189,115.475,102.254,102.558,95.71,97.72,117.369,111.951,111.532
